City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Chimoio,-19.12,33.48,55.4,100,75,8.05,MZ,1592459226
Lakselv,70.05,24.97,59.0,47,36,17.22,NO,1592459226
Havre-St-Pierre,50.23,-63.6,55.4,82,90,3.36,CA,1592459226
Hirara,24.8,125.28,89.6,70,75,21.92,JP,1592459161
Niquero,20.04,-77.58,79.25,82,93,6.76,CU,1592459226
Eyl,7.98,49.82,88.81,40,54,33.38,SO,1592459102
Taksimo,56.34,114.88,65.75,41,45,3.87,RU,1592459226
Salamiyah,35.01,37.05,83.43,25,0,13.85,SY,1592459226
Champerico,14.3,-91.92,79.61,79,99,5.37,GT,1592459227
Carinhanha,-14.3,-43.77,64.72,82,34,5.14,BR,1592459227
Kieta,-6.22,155.63,83.41,77,58,6.46,PG,1592459227
Porbandar,21.64,69.61,91.4,63,40,9.1,IN,1592458928
Conceição do Araguaia,-8.26,-49.26,75.78,63,80,2.26,BR,1592458919
Antsohihy,-14.88,47.99,78.04,47,2,15.66,MG,1592459227
Yibin,28.77,104.62,91.72,44,82,2.04,CN,1592459227
City of San Pedro,14.35,121.02,95.0,59,40,8.05,PH,1592459227
Genhe,50.78,121.52,66.72,63,90,6.15,CN,1592459227
Mareeba,-17.0,145.43,75.0,78,89,5.99,AU,1592459130
Mikhaylovka,50.06,43.24,80.01,47,0,8.01,RU,1592459120
Opuwo,-18.06,13.84,51.67,58,0,10.0,NA,1592458853
Nizhniy Kuranakh,58.84,125.49,72.37,56,89,5.39,RU,1592459228
Icod de los Vinos,28.37,-16.71,71.01,71,17,1.01,ES,1592459228
Patacamaya,-17.23,-67.92,38.75,59,1,2.17,BO,1592459228
Arrondissement de Rennes,48.17,-1.67,55.0,100,75,4.7,FR,1592459228
Örnsköldsvik,63.29,18.72,60.8,82,100,4.7,SE,1592459228
Barabai,-2.58,115.38,89.89,60,43,1.32,ID,1592459228
Boca do Acre,-8.75,-67.4,71.33,80,15,1.43,BR,1592459228
Aklavik,68.22,-135.01,60.8,67,75,5.82,CA,1592459124
Aswān,24.09,32.91,93.34,23,0,18.01,EG,1592459229
Portland,45.52,-122.68,63.0,73,40,5.61,US,1592458924
Taft,31.75,54.21,93.2,10,40,9.17,IR,1592459229
Visby,57.64,18.3,60.01,93,6,5.82,SE,1592459229
Trincomalee,8.57,81.23,91.15,61,90,10.89,LK,1592459229
Novikovo,51.15,37.89,72.23,67,0,7.58,RU,1592459229
Evansville,37.97,-87.56,68.0,82,1,3.38,US,1592459012
Vypolzovo,57.88,33.7,72.82,75,91,4.88,RU,1592459229
Almaznyy,48.04,40.05,69.8,60,20,11.18,RU,1592459229
Visnes,59.36,5.22,57.0,93,90,5.82,NO,1592459130
Kenai,60.55,-151.26,59.0,54,1,8.05,US,1592458925
Saint-François,46.42,3.91,57.2,76,44,4.7,FR,1592459115
Zhangye,38.93,100.45,91.22,11,96,5.59,CN,1592459182
Huangmei,30.19,116.03,80.26,73,94,7.85,CN,1592459230
Sisimiut,66.94,-53.67,35.74,84,52,5.99,GL,1592459230
São José da Coroa Grande,-8.9,-35.15,75.67,83,32,12.57,BR,1592459230
Padre Bernardo,-15.35,-48.5,58.82,87,0,3.47,BR,1592459230
Christchurch,-43.53,172.63,48.99,93,100,12.75,NZ,1592459219
Matagami,49.75,-77.63,73.4,60,1,4.7,CA,1592459230
Kupino,54.37,77.3,71.33,59,19,12.37,RU,1592459230
Grand Gaube,-20.01,57.66,73.0,78,42,13.0,MU,1592459230
Port Augusta,-32.5,137.77,68.0,32,4,21.92,AU,1592459130
Salinópolis,-0.61,-47.36,76.87,86,2,7.99,BR,1592459230
Gohānd,25.7,79.55,104.43,26,51,10.2,IN,1592459231
Mayumba,-3.43,10.66,72.48,88,62,1.97,GA,1592459231
Krosno Odrzańskie,52.05,15.1,66.99,37,99,5.37,PL,1592459231
San Quintín,30.48,-115.95,61.61,86,4,7.92,MX,1592459093
Nísia Floresta,-6.09,-35.21,71.6,88,40,4.7,BR,1592459231
Mishan,45.55,131.88,64.94,66,80,9.01,CN,1592459231
Ouadda,8.08,22.4,71.2,89,89,3.96,CF,1592459231
Arrondissement de Reims,49.17,4.08,55.4,100,14,2.24,FR,1592459231
Kalvarija,54.4,23.23,69.24,90,39,10.09,LT,1592459231
Acaraú,-2.89,-40.12,75.31,88,9,11.95,BR,1592459231
Sayyan,15.17,44.32,74.46,19,0,0.87,YE,1592459231
Agadez,19.75,10.25,80.1,19,0,11.83,NE,1592459125
High Level,58.52,-117.14,51.8,87,1,5.82,CA,1592459127
Kananga,-5.9,22.42,66.4,45,28,5.53,CD,1592459232
Xinzhi,36.5,111.7,85.51,38,0,7.49,CN,1592459232
Iquitos,-3.75,-73.25,71.6,95,61,1.1,PE,1592459232
Oranjestad,12.52,-70.03,82.4,78,20,19.46,AW,1592459232
Ahipara,-35.17,173.17,56.3,85,39,9.31,NZ,1592459232
Wamba,8.93,8.6,72.7,93,100,0.98,NG,1592459232
Mafeteng,-29.82,27.24,36.14,84,38,2.48,LS,1592459232
Padang,-0.95,100.35,84.25,72,76,4.54,ID,1592459092
Chambas,22.19,-78.91,77.0,100,99,3.36,CU,1592459232
Cockburn Town,21.46,-71.14,81.79,80,2,17.87,TC,1592459232
Cururupu,-1.83,-44.87,72.95,95,9,2.77,BR,1592459232
Farafenni,13.57,-15.6,79.12,77,48,9.22,GM,1592459233
Geneva,41.89,-88.31,70.0,56,1,4.7,US,1592459002
Aragarças,-15.9,-52.25,64.06,76,15,3.27,BR,1592459233
Bogorodskoye,56.55,37.88,68.79,89,100,2.21,RU,1592459233
Sakaraha,-22.9,44.53,64.35,51,0,7.7,MG,1592459233
Valle Hermoso,25.67,-97.83,79.0,83,1,5.82,MX,1592459233
Tabas,33.6,56.92,95.0,13,0,2.24,IR,1592459233
Labuhan,-6.88,112.21,88.0,60,0,8.48,ID,1592459233
Inverness,57.48,-4.22,55.4,93,90,1.21,GB,1592459233
Ukiah,39.15,-123.21,71.6,40,1,3.27,US,1592458955
Mehamn,71.04,27.85,53.6,54,95,11.41,NO,1592459094
Pittsburg,38.03,-121.88,73.0,35,0,8.7,US,1592459233
Sittwe,20.15,92.9,81.61,84,100,7.38,MM,1592459234
Whitehorse,60.72,-135.05,55.4,54,75,14.99,CA,1592459102
Barillas,15.8,-91.32,63.41,94,100,1.14,GT,1592459234
Emba,48.83,58.14,79.61,36,0,13.42,KZ,1592459234
Kincardine,56.07,-3.72,53.01,100,90,8.05,GB,1592459234
Cartagena,10.4,-75.51,79.56,86,63,11.41,CO,1592459234
Peniche,39.36,-9.38,61.0,83,0,5.01,PT,1592459234
Chamba,32.57,76.13,91.85,16,1,7.58,IN,1592459234
Mariestad,58.71,13.82,64.0,100,0,3.42,SE,1592459234
Tomiya,38.39,140.89,80.6,68,75,11.41,JP,1592459234
Tura,25.52,90.22,77.14,94,100,8.08,IN,1592459234
Outram,1.28,103.84,84.2,74,75,4.7,MY,1592459111
Margate,51.38,1.39,59.0,98,100,1.99,GB,1592458832
Chicama,-7.84,-79.15,64.44,81,32,3.49,PE,1592459111
Tilichiki,60.47,166.1,56.34,75,71,5.1,RU,1592459113
Ucluelet,48.93,-125.55,55.0,85,99,7.27,CA,1592459235
Wanaka,-44.7,169.15,34.61,87,84,6.04,NZ,1592459235
Veseloyarsk,51.28,81.11,66.81,58,92,13.11,RU,1592459235
El Salvador,13.83,-88.92,78.8,88,20,2.24,SV,1592458991
Abilene,32.45,-99.73,82.4,51,1,13.87,US,1592459235
Kolvereid,64.87,11.6,59.0,87,60,4.7,NO,1592459235
Seydi,39.48,62.91,86.83,13,0,14.2,TM,1592459235
Myaundzha,63.05,147.19,74.01,31,98,9.48,RU,1592459235
Sistranda,63.73,8.83,59.0,82,40,5.82,NO,1592459235
Selfoss,63.93,-21.0,42.01,93,100,1.01,IS,1592459236
Doda,33.13,75.57,91.62,14,0,5.37,IN,1592459236
Barra Patuca,15.8,-84.28,79.34,88,97,7.34,HN,1592459236
Lagos,6.58,3.75,77.0,94,75,1.41,NG,1592459236
Zhigansk,66.77,123.37,71.58,45,6,5.17,RU,1592459103
Sorong,-0.88,131.25,84.42,75,0,4.16,ID,1592459236
Hofn,64.25,-15.21,45.64,78,14,10.63,IS,1592459120
Gamba,-2.65,10.0,71.4,91,74,1.39,GA,1592459236
Kysyl-Syr,63.9,122.76,82.11,37,35,3.67,RU,1592459117
Poum,-20.23,164.02,74.75,80,100,11.9,NC,1592459236
Khargone,21.82,75.6,93.56,48,58,15.28,IN,1592459236
Dunedin,-45.87,170.5,43.0,70,40,5.99,NZ,1592459162
Klaksvík,62.23,-6.59,48.2,100,100,2.24,FO,1592459110
Riverton,40.52,-111.94,53.6,62,1,9.17,US,1592459237
Vostochnyy,55.82,37.87,80.01,69,51,4.47,RU,1592459140
Muscat,23.61,58.59,91.4,84,65,5.82,OM,1592459237
Benton Harbor,42.12,-86.45,63.0,82,1,3.36,US,1592459237
Beloha,-25.17,45.05,67.57,60,21,14.0,MG,1592458840
Leer,8.3,30.14,76.15,84,96,4.29,SS,1592459237
Kyra,49.58,111.98,75.38,31,20,6.31,RU,1592459119
Abu Samrah,35.3,37.18,84.02,25,0,13.47,SY,1592459237
Gonzales,30.24,-90.92,70.0,88,0,4.0,US,1592459183
Shediac,46.22,-64.54,60.8,59,5,9.17,CA,1592459237
Miyako,39.64,141.95,68.95,70,33,7.05,JP,1592459237
Pacific Grove,36.62,-121.92,64.4,55,1,4.7,US,1592459083
Aberdeen,57.14,-2.1,50.0,100,90,2.24,GB,1592459132
Bandar,2.05,99.75,78.57,92,97,3.33,ID,1592459238
Husavik,66.04,-17.34,44.6,81,94,5.82,IS,1592459102
Atambua,-9.11,124.89,81.45,60,58,4.34,ID,1592459238
Yatou,37.15,122.38,69.33,79,100,9.6,CN,1592459238
Byron Bay,-28.65,153.62,68.0,64,90,17.22,AU,1592459238
Hervey Bay,-25.3,152.85,72.0,63,16,7.0,AU,1592459238
San Cristobal,7.77,-72.22,65.3,92,43,1.99,VE,1592459238
Katangli,51.71,143.23,41.56,94,100,11.27,RU,1592459238
Pandamatenga,-18.53,25.63,49.77,79,0,9.82,BW,1592459238
Satipo,-11.25,-74.64,70.05,83,80,0.47,PE,1592459238
Prudentópolis,-25.21,-50.98,55.53,98,95,1.28,BR,1592459239
Naze,28.37,129.48,87.8,74,75,21.92,JP,1592458971
Natal,-5.79,-35.21,71.6,88,40,4.7,BR,1592459061
Rzeszów,50.04,22.0,63.0,93,90,5.82,PL,1592459101
Nur-Sultan,51.18,71.45,71.6,46,75,8.95,KZ,1592459239
Kualakapuas,-3.01,114.39,89.6,62,40,10.29,ID,1592459239
Otegen Batyra,43.43,77.02,73.4,27,40,6.71,KZ,1592459239
Poso,-1.4,120.75,86.27,58,99,5.46,ID,1592459239
Zhanakorgan,43.91,67.25,83.44,16,0,5.68,KZ,1592459195
